State,Start,End,Run time
sEOD_LIVE,2018/03/02 23:49:26,2018/03/03 05:18:14,5:28:48
sEMAIL_START,2018/03/02 23:49:26,2018/03/02 23:49:26,0:0:0
sMARKER_START,2018/03/02 23:49:26,2018/03/02 23:49:50,0:0:24
sCHECK_DATE,2018/03/02 23:49:50,2018/03/02 23:49:50,0:0:0
sDATE_INIT,2018/03/02 23:49:50,2018/03/02 23:53:43,0:3:53
sSTG_WAIT_COMPTA_PLCOMP,2018/03/02 23:53:43,2018/03/03 00:13:54,0:20:11
sSTG_TRUNCATE,2018/03/03 00:13:54,2018/03/03 00:13:59,0:0:5
sSTG_DROP_INDEX,2018/03/03 00:13:59,2018/03/03 00:14:01,0:0:2
sSTG_FEED_MAIN,2018/03/03 00:14:01,2018/03/03 03:31:26,3:17:25
sSTG_FEED_MISC_ALL,2018/03/03 00:14:01,2018/03/03 01:23:56,1:9:55
sSTG_FEED_COM_RISK_SPEC_ALL,2018/03/03 00:14:01,2018/03/03 01:18:38,1:4:37
sSTG_FEED_MISC_MAIN,2018/03/03 00:14:01,2018/03/03 01:23:56,1:9:55
sSTG_FEED_COM_RISK_SPEC_MAIN,2018/03/03 00:14:01,2018/03/03 01:18:37,1:4:36
sSTG_FEED_MISC,2018/03/03 00:14:01,2018/03/03 01:23:44,1:9:43
sSTG_FEED_CS_ALL,2018/03/03 00:14:01,2018/03/03 02:16:57,2:2:56
sSTG_FEED_MISC_MAIN2,2018/03/03 00:14:01,2018/03/03 01:15:09,1:1:8
sSTG_FEED_CS_MAIN,2018/03/03 00:14:01,2018/03/03 02:13:47,1:59:46
sSTG_FEED_MISC_2A,2018/03/03 00:14:01,2018/03/03 01:11:01,0:57:0
sSTG_FEED_DT_ALL,2018/03/03 00:14:01,2018/03/03 02:08:01,1:54:0
sSTG_FEED_CS_OM,2018/03/03 00:14:01,2018/03/03 02:13:47,1:59:46
sSTG_FEED_DT_MAIN,2018/03/03 00:14:01,2018/03/03 02:07:10,1:53:9
sSTG_FEED_DT_01,2018/03/03 00:14:01,2018/03/03 02:02:32,1:48:31
sSTG_FEED_FX_RISK_SPEC_ALL,2018/03/03 00:14:01,2018/03/03 02:13:21,1:59:20
sSTG_FEED_CS_TODAY,2018/03/03 00:14:01,2018/03/03 01:54:26,1:40:25
sSTG_FEED_FX_RISK_SPEC_MAIN,2018/03/03 00:14:01,2018/03/03 02:13:20,1:59:19
sSTG_FEED_IRD_RISK_SPEC_ALL,2018/03/03 00:14:01,2018/03/03 02:09:09,1:55:8
sSTG_FEED_CS_OTHER,2018/03/03 00:14:01,2018/03/03 01:56:13,1:42:12
sSTG_FEED_IRD_RISK_SPEC_MAIN,2018/03/03 00:14:01,2018/03/03 02:09:09,1:55:8
sSTG_FEED_PL_ALL,2018/03/03 00:14:01,2018/03/03 01:57:16,1:43:15
sSTG_FEED_PL_MAIN,2018/03/03 00:14:01,2018/03/03 01:57:00,1:42:59
sSTG_FEED_PL_SV_ALL,2018/03/03 00:14:01,2018/03/03 02:34:20,2:20:19
sSTG_FEED_PL_SV_MAIN,2018/03/03 00:14:01,2018/03/03 02:34:10,2:20:9
sSTG_FEED_PL_OIS_YEST,2018/03/03 00:14:01,2018/03/03 01:07:38,0:53:37
sSTG_FEED_MV_ALL,2018/03/03 00:14:01,2018/03/03 01:59:49,1:45:48
sSTG_FEED_MV_MAIN,2018/03/03 00:14:01,2018/03/03 01:59:25,1:45:24
sSTG_FEED_PL_SV_YEST,2018/03/03 00:14:01,2018/03/03 02:34:10,2:20:9
sSTG_FEED_PL_OM-1,2018/03/03 00:14:01,2018/03/03 01:45:42,1:31:41
sSTG_FEED_SV_ALL,2018/03/03 00:14:01,2018/03/03 02:28:06,2:14:5
sSTG_FEED_PL_2OM,2018/03/03 00:14:01,2018/03/03 01:57:00,1:42:59
sSTG_FEED_PL_SV_L_YEST-1,2018/03/03 00:14:01,2018/03/03 02:06:35,1:52:34
sSTG_FEED_SV_MAIN,2018/03/03 00:14:01,2018/03/03 02:27:36,2:13:35
sSTG_FEED_MV_2OM,2018/03/03 00:14:01,2018/03/03 01:55:09,1:41:8
sSTG_FEED_SV_CS1_ALL,2018/03/03 00:14:01,2018/03/03 02:03:15,1:49:14
sSTG_FEED_PL_SV_L_OM,2018/03/03 00:14:01,2018/03/03 02:33:03,2:19:2
sSTG_FEED_MV_OM-1,2018/03/03 00:14:01,2018/03/03 01:59:25,1:45:24
sSTG_FEED_SV_CS1_MAIN,2018/03/03 00:14:01,2018/03/03 02:03:14,1:49:13
sSTG_FEED_SV_YEST,2018/03/03 00:14:01,2018/03/03 02:21:49,2:7:48
sSTG_FEED_XG_ALL,2018/03/03 00:14:01,2018/03/03 02:34:41,2:20:40
sSTG_FEED_XG_MAIN,2018/03/03 00:14:01,2018/03/03 02:31:59,2:17:58
sSTG_FEED_SV_L_YEST-1,2018/03/03 00:14:01,2018/03/03 02:27:36,2:13:35
sSTG_FEED_VAR,2018/03/03 00:14:01,2018/03/03 03:00:55,2:46:54
sSTG_FEED_VAR_STRESS_TEST,2018/03/03 00:14:01,2018/03/03 02:58:50,2:44:49
sSTG_FEED_TAYLOR,2018/03/03 00:14:01,2018/03/03 03:31:26,3:17:25
sSTG_FEED_VAR_PART1,2018/03/03 00:14:01,2018/03/03 02:58:50,2:44:49
sSTG_FEED_VAR_PART2,2018/03/03 00:14:01,2018/03/03 02:31:37,2:17:36
sSTG_FEED_VAR_PART3,2018/03/03 00:14:01,2018/03/03 02:24:33,2:10:32
sSTG_FEED_VAR_PART4,2018/03/03 00:14:01,2018/03/03 02:30:44,2:16:43
sSTG_FEED_VAR_PART5,2018/03/03 00:14:01,2018/03/03 02:01:35,1:47:34
sSTG_FEED_VAR_PART6,2018/03/03 00:14:01,2018/03/03 01:54:40,1:40:39
sSTG_FEED_VAR_PART7,2018/03/03 00:14:01,2018/03/03 02:08:10,1:54:9
sSTG_FEED_VAR_PART8,2018/03/03 00:14:01,2018/03/03 02:34:12,2:20:11
sSTG_FEED_MISC_INDEX_2B,2018/03/03 01:11:01,2018/03/03 01:15:09,0:4:8
sSTG_FEED_COM_RISK_SPEC_INDEX_ALL,2018/03/03 01:18:37,2018/03/03 01:18:38,0:0:1
sSTG_FEED_MISC_INDEX,2018/03/03 01:23:44,2018/03/03 01:23:56,0:0:12
sSTG_FEED_PL_INDEX_ALL,2018/03/03 01:57:00,2018/03/03 01:57:16,0:0:16
sSTG_FEED_MV_INDEX_ALL,2018/03/03 01:59:25,2018/03/03 01:59:49,0:0:24
sSTG_FEED_DT_02,2018/03/03 02:02:32,2018/03/03 02:07:10,0:4:38
sSTG_FEED_SV_CS1_INDEX_ALL,2018/03/03 02:03:14,2018/03/03 02:03:15,0:0:1
sSTG_FEED_DT_INDEX_ALL,2018/03/03 02:07:10,2018/03/03 02:08:01,0:0:51
sSTG_FEED_IRD_RISK_SPEC_INDEX_ALL,2018/03/03 02:09:09,2018/03/03 02:09:09,0:0:0
sSTG_FEED_FX_RISK_SPEC_INDEX_ALL,2018/03/03 02:13:20,2018/03/03 02:13:21,0:0:1
sSTG_FEED_CS_INDEX_ALL,2018/03/03 02:13:47,2018/03/03 02:16:57,0:3:10
sSTG_FEED_SV_INDEX_ALL,2018/03/03 02:27:36,2018/03/03 02:28:06,0:0:30
sSTG_FEED_XG_INDEX_ALL,2018/03/03 02:31:59,2018/03/03 02:32:11,0:0:12
sSTG_FEED_MIFID,2018/03/03 02:32:11,2018/03/03 02:34:38,0:2:27
sSTG_FEED_PL_SV_INDEX_ALL,2018/03/03 02:34:10,2018/03/03 02:34:20,0:0:10
sSTG_FEED_UPD_MIFID,2018/03/03 02:34:38,2018/03/03 02:34:41,0:0:3
sSTG_FEED_VAR_DATAMART,2018/03/03 02:58:50,2018/03/03 03:00:51,0:2:1
sSTG_FEED_VAR_INDEX,2018/03/03 03:00:51,2018/03/03 03:00:55,0:0:4
sLAUNCH_MASTER_LAUNCHER,2018/03/03 03:31:26,2018/03/03 03:31:27,0:0:1
sSTG_FEED_PARSER_FUNCTION,2018/03/03 03:31:27,2018/03/03 03:50:51,0:19:24
sSTG_FEED_CVPRC,2018/03/03 03:31:27,2018/03/03 03:37:33,0:6:6
sSTG_FEED_CVSPT,2018/03/03 03:31:27,2018/03/03 03:32:47,0:1:20
sSTG_FEED_DTSEC,2018/03/03 03:31:27,2018/03/03 03:50:51,0:19:24
sSTG_FEED_RTNBD,2018/03/03 03:31:27,2018/03/03 03:32:45,0:1:18
sSTG_VALIDATE_INTEGRITY,2018/03/03 03:50:51,2018/03/03 03:50:56,0:0:5
sODS_TRUNCATE,2018/03/03 03:50:56,2018/03/03 03:50:57,0:0:1
sODS_DROP_INDEX,2018/03/03 03:50:57,2018/03/03 03:50:58,0:0:1
sODS_FEED_ALL,2018/03/03 03:50:58,2018/03/03 04:54:16,1:3:18
sODS_FEED_COMRISK_SPEC,2018/03/03 03:50:58,2018/03/03 03:53:26,0:2:28
sODS_FEED_CRDRISK_SPEC,2018/03/03 03:50:58,2018/03/03 03:51:32,0:0:34
sODS_FEED_CS,2018/03/03 03:50:58,2018/03/03 04:54:16,1:3:18
sODS_FEED_CS_FUT_L,2018/03/03 03:50:58,2018/03/03 03:51:55,0:0:57
sODS_FEED_CS_EVAL,2018/03/03 03:50:58,2018/03/03 03:52:41,0:1:43
sODS_FEED_DT,2018/03/03 03:50:58,2018/03/03 04:26:05,0:35:7
sODS_FEED_DT_SV,2018/03/03 03:50:58,2018/03/03 04:06:25,0:15:27
sODS_FEED_FXRISK_SPEC,2018/03/03 03:50:58,2018/03/03 03:53:06,0:2:8
sODS_FEED_IRDRISK,2018/03/03 03:50:58,2018/03/03 03:53:29,0:2:31
sODS_FEED_IRDRISK_SPEC,2018/03/03 03:50:58,2018/03/03 03:54:08,0:3:10
sODS_FEED_MV_DETAIL,2018/03/03 03:50:58,2018/03/03 04:18:00,0:27:2
sODS_FEED_PL,2018/03/03 03:50:58,2018/03/03 04:05:18,0:14:20
sODS_FEED_PL_HS,2018/03/03 03:50:58,2018/03/03 03:54:12,0:3:14
sODS_FEED_PL_SV,2018/03/03 03:50:58,2018/03/03 03:55:22,0:4:24
sODS_FEED_SV,2018/03/03 03:50:58,2018/03/03 04:01:28,0:10:30
sODS_FEED_VAR_COM,2018/03/03 03:50:58,2018/03/03 03:53:56,0:2:58
sODS_FEED_VAR_SCN,2018/03/03 03:50:58,2018/03/03 03:52:46,0:1:48
sODS_FEED_XG,2018/03/03 03:50:58,2018/03/03 03:57:11,0:6:13
sODS_FEED_TAYLOR_COM,2018/03/03 03:50:59,2018/03/03 03:58:36,0:7:37
sODS_FEED_TAYLOR_CRD,2018/03/03 03:50:59,2018/03/03 04:07:22,0:16:23
sODS_FEED_TAYLOR_CURR,2018/03/03 03:50:59,2018/03/03 04:08:44,0:17:45
sODS_FEED_TAYLOR_IRD,2018/03/03 03:50:59,2018/03/03 04:04:05,0:13:6
sODS_SQL,2018/03/03 04:54:16,2018/03/03 05:17:46,0:23:30
sODS_SQL_UPDATE,2018/03/03 04:54:16,2018/03/03 05:05:48,0:11:32
sUPDATE_STATISTICS,2018/03/03 04:54:16,2018/03/03 05:17:46,0:23:30
sODS_UPD_CS,2018/03/03 04:54:16,2018/03/03 04:54:16,0:0:0
sODS_UPD_CS_FUT,2018/03/03 04:54:16,2018/03/03 04:54:16,0:0:0
sODS_UPD_DT,2018/03/03 04:54:16,2018/03/03 05:05:22,0:11:6
sODS_UPD_DT_SV,2018/03/03 04:54:16,2018/03/03 04:54:16,0:0:0
