EOD Date,State,Start,End,Run time
20180213,sEOD_LIVE,2018/02/13 23:48:14,2018/03/21 23:28:45,0:0:0
20180213,sEMAIL_START,2018/02/13 23:48:14,2018/02/13 23:48:14,0:0:0
20180213,sMARKER_START,2018/02/13 23:48:14,2018/02/13 23:48:35,0:0:21
20180213,sCHECK_DATE,2018/02/13 23:48:35,2018/02/13 23:48:35,0:0:0
20180213,sDATE_INIT,2018/02/13 23:48:35,2018/02/13 23:51:59,0:3:24
20180213,sSTG_WAIT_COMPTA_PLCOMP,2018/02/13 23:51:59,2018/02/14 00:09:32,0:17:33
20180213,sSTG_TRUNCATE,2018/02/14 00:09:32,2018/02/14 00:09:34,0:0:2
20180213,sSTG_DROP_INDEX,2018/02/14 00:09:34,2018/02/14 00:09:35,0:0:1
20180213,sSTG_FEED_MAIN,2018/02/14 00:09:35,2018/03/21 23:28:45,0:0:0
20180213,sSTG_FEED_MISC_ALL,2018/02/14 00:09:35,2018/02/14 02:15:04,2:5:29
20180213,sSTG_FEED_MISC_MAIN,2018/02/14 00:09:35,2018/02/14 02:09:49,2:0:14
20180213,sSTG_FEED_COM_RISK_SPEC_ALL,2018/02/14 00:09:35,2018/03/21 23:28:45,0:0:0
20180213,sSTG_FEED_MISC,2018/02/14 00:09:35,2018/02/14 02:09:39,2:0:4
20180213,sSTG_FEED_COM_RISK_SPEC_MAIN,2018/02/14 00:09:35,2018/03/21 23:28:45,0:0:0
20180213,sSTG_FEED_CS_ALL,2018/02/14 00:09:35,2018/02/14 02:25:23,2:15:48
20180213,sSTG_FEED_MISC_MAIN2,2018/02/14 00:09:35,2018/02/14 02:15:04,2:5:29
20180213,sSTG_FEED_CS_MAIN,2018/02/14 00:09:35,2018/02/14 02:22:27,2:12:52
20180213,sSTG_FEED_MISC_2A,2018/02/14 00:09:35,2018/02/14 02:15:03,2:5:28
20180213,sSTG_FEED_DT_ALL,2018/02/14 00:09:35,2018/02/14 01:57:47,1:48:12
20180213,sSTG_FEED_DT_MAIN,2018/02/14 00:09:35,2018/02/14 01:57:08,1:47:33
20180213,sSTG_FEED_DT_01,2018/02/14 00:09:35,2018/02/14 01:55:14,1:45:39
20180213,sSTG_FEED_CS_OM,2018/02/14 00:09:35,2018/02/14 02:22:27,2:12:52
20180213,sSTG_FEED_FX_RISK_SPEC_ALL,2018/02/14 00:09:35,2018/02/14 02:19:19,2:9:44
20180213,sSTG_FEED_FX_RISK_SPEC_MAIN,2018/02/14 00:09:35,2018/02/14 02:19:18,2:9:43
20180213,sSTG_FEED_CS_TODAY,2018/02/14 00:09:35,2018/02/14 02:08:12,1:58:37
20180213,sSTG_FEED_IRD_RISK_SPEC_ALL,2018/02/14 00:09:35,2018/02/14 02:14:16,2:4:41
20180213,sSTG_FEED_IRD_RISK_SPEC_MAIN,2018/02/14 00:09:35,2018/02/14 02:14:15,2:4:40
20180213,sSTG_FEED_CS_OTHER,2018/02/14 00:09:35,2018/02/14 01:53:30,1:43:55
20180213,sSTG_FEED_PL_ALL,2018/02/14 00:09:35,2018/02/14 02:14:45,2:5:10
20180213,sSTG_FEED_PL_MAIN,2018/02/14 00:09:35,2018/02/14 02:14:17,2:4:42
20180213,sSTG_FEED_PL_SV_ALL,2018/02/14 00:09:35,2018/02/14 02:42:57,2:33:22
20180213,sSTG_FEED_PL_SV_MAIN,2018/02/14 00:09:35,2018/02/14 02:42:46,2:33:11
20180213,sSTG_FEED_PL_OIS_YEST,2018/02/14 00:09:35,2018/02/14 01:08:34,0:58:59
20180213,sSTG_FEED_MV_ALL,2018/02/14 00:09:35,2018/02/14 02:13:04,2:3:29
20180213,sSTG_FEED_PL_OM-1,2018/02/14 00:09:35,2018/02/14 01:58:55,1:49:20
20180213,sSTG_FEED_MV_MAIN,2018/02/14 00:09:35,2018/02/14 02:12:33,2:2:58
20180213,sSTG_FEED_PL_SV_YEST,2018/02/14 00:09:35,2018/02/14 02:42:46,2:33:11
20180213,sSTG_FEED_SV_ALL,2018/02/14 00:09:35,2018/02/14 02:38:03,2:28:28
20180213,sSTG_FEED_PL_2OM,2018/02/14 00:09:35,2018/02/14 02:14:17,2:4:42
20180213,sSTG_FEED_SV_MAIN,2018/02/14 00:09:35,2018/02/14 02:37:33,2:27:58
20180213,sSTG_FEED_PL_SV_L_YEST-1,2018/02/14 00:09:35,2018/02/14 02:21:59,2:12:24
20180213,sSTG_FEED_MV_2OM,2018/02/14 00:09:35,2018/02/14 02:11:52,2:2:17
20180213,sSTG_FEED_SV_CS1_ALL,2018/02/14 00:09:35,2018/02/14 01:55:26,1:45:51
20180213,sSTG_FEED_SV_CS1_MAIN,2018/02/14 00:09:35,2018/02/14 01:55:25,1:45:50
20180213,sSTG_FEED_PL_SV_L_OM,2018/02/14 00:09:35,2018/02/14 02:39:47,2:30:12
20180213,sSTG_FEED_SV_YEST,2018/02/14 00:09:35,2018/02/14 02:35:40,2:26:5
20180213,sSTG_FEED_MV_OM-1,2018/02/14 00:09:35,2018/02/14 02:12:33,2:2:58
20180213,sSTG_FEED_XG_ALL,2018/02/14 00:09:35,2018/02/14 02:20:21,2:10:46
20180213,sSTG_FEED_XG_MAIN,2018/02/14 00:09:35,2018/02/14 02:17:40,2:8:5
20180213,sSTG_FEED_SV_L_YEST-1,2018/02/14 00:09:35,2018/02/14 02:37:33,2:27:58
20180213,sSTG_FEED_VAR,2018/02/14 00:09:35,2018/03/21 23:28:45,0:0:0
20180213,sSTG_FEED_VAR_STRESS_TEST,2018/02/14 00:09:35,2018/03/21 23:28:45,0:0:0
20180213,sSTG_FEED_TAYLOR,2018/02/14 00:09:35,2018/02/14 03:17:33,3:7:58
20180213,sSTG_FEED_VAR_PART1,2018/02/14 00:09:35,2018/03/21 23:28:45,0:0:0
20180213,sSTG_FEED_VAR_PART2,2018/02/14 00:09:36,2018/02/14 02:37:15,2:27:39
20180213,sSTG_FEED_VAR_PART3,2018/02/14 00:09:36,2018/02/14 02:17:37,2:8:1
